Game,Year
Advance Wars: Days of Ruin,2007
Advance Wars: Dual Strike,2005
Animal Crossing ,2002
Animal Crossing: City Folk,2008
Animal Crossing: New Horizons,2020
Animal Crossing: New Leaf,2013
Animal Crossing: Wild World,2005
Baten Kaitos Origins,2006
Baten Kaitos: Eternal Wings and the Lost Ocean,2004
Call of Duty: Black Ops,2010
Call of Duty: Modern Warfare 3,2011
Castlevania: Aria of Sorrow,2003
Castlevania: Circle of the Moon,2001
Castlevania: Dawn of Sorrow,2005
Castlevania: Order of Eeclesia,2008
Castlevania: Portrait of Ruin,2006
Castlevania: Symphony of the Night,1997
Chrono Trigger DS,2008
Crysis,2007
Deus Ex: Human Revolution,2011
Disgaea 5 Complete,2017
Dr. Mario,1990
Dragon Age: Origins,2009
Dust: An Elysian Tail,2012
Fallout 3,2008
Final Fantasy III DS,2006
Final Fantasy Tactics A2,2008
Final Fantasy Tactics Advance,2003
Final Fantasy XIII,2010
God of War,2005
Golden Sun,2001
Golden Sun: The Lost Age,2003
Halo 1,2001
Halo 2,2004
Hollow Knight,2017
Imperialism II,1999
Infamous  ,2009
Infamous 2,2011
Jade Empire,2005
Jet Force Gemini,1999
Kirby Air Ride,2003
LittleBigPlanet,2008
LittleBigPlanet Karting,2012
Mario & Luigi: Partners in Time,2005
Mario & Luigi: Superstar Saga,2003
Mario Kart 7,2011
Mario Kart 8,2014
Mario Kart DS,2005
Mass Effect,2007
Mass Effect 2,2010
Mass Effect 3,2012
Metroid Fusion,2002
Metroid Prime (Trilogy Edition),2009
Metroid Prime 2: Echoes (Trilogy Edition),2009
Metroid Prime 3: Corruption,2007
Metroid Prime: Hunters,2006
Metroid: Zero Mission,2004
Minecraft,2011
Nintendoland,2012
Pokemon Alpha Sapphire,2014
Pokemon Black,2011
Pokemon Black 2,2012
Pokemon Colosseum,2004
Pokemon Diamond/Pearl,2007
Pokemon Emerald,2005
Pokemon Firered/Leafgreen,2004
Pokemon Go,2016
Pokemon Gold/Silver,2001
Pokemon Let’s Go Eevee,2018
Pokemon Platinum,2009
Pokemon Red/Blue,1998
Pokemon Ruby/Sapphire,2003
Pokemon Soulsilver,2010
Pokemon Sun/Moon,2016
Pokemon X/Y,2013
Pokemon XD: Gale of Darkness,2005
Pokemon Yellow,1999
Portal,2007
Portal 2,2011
Radiant Historia: Perfect Chronology,2018
Resident Evil 4 Wii Edition,2007
Snipperclips,2017
Sonic Adventure DX: Director’s Cut,2003
Sonic Adventure 2: Battle,2002
Star Wars: Knights of the Old Republic,2003
Star Wars: Knights of the Old Republic 2,2004
Star Wars: The Force Unleashed,2008
Steamworld Dig,2013
Super Mario 64,1996
Super Mario Bros. 1,1985
Super Mario Bros. 3,1990
Super Mario Galaxy  ,2007
Super Mario Galaxy 2,2010
Super Metroid,1994
Super Smash Bros 64,1999
Super Smash Bros Brawl/Project M,2008
Super Smash Bros. For Wii U,2014
Super Smash Bros. Melee,2001
Super Smash Bros. Ultimate,2018
The Conduit,2009
The Elder Scrolls IV: Oblivion,2006
The Elder Scrolls V: Skyrim,2011
The Legend of Zelda: A Link to the Past/Four Swords,2002
The Legend of Zelda: Breath of the Wild,2017
The Legend of Zelda: Link’s Awakening DX,1998
The Legend of Zelda: Link Between Worlds,2013
The Legend of Zelda: Majora’s Mask,2000
The Legend of Zelda: Majora’s Mask 3DS,2015
The Legend of Zelda: Ocarina of Time,1998
The Legend of Zelda: Ocarina of Time 3DS,2011
The Legend of Zelda: Oracle of Ages,2001
The Legend of Zelda: Oracle of Seasons,2001
The Legend of Zelda: Minish Cap,2005
The Legend of Zelda: Phantom Hourglass,2007
The Legend of Zelda: Skyward Sword,2011
The Legend of Zelda: The Wind Waker,2003
The Legend of Zelda: Twilight Princess,2006
Tropico,2001
Unreal Tournament,1999
Wii Sports,2006
Wii Sports Resort,2009
